Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Co-located,Co-located with,Notes,URL,Email address
Suffolk,Kessingland,"Marram Green, Hall Road",Kessingland,Suffolk,NR33 7AH,,Yes,CL,,,00:00-00:00,14:30-17:00,10:00-17:00,00:00-00:00,10:00-17:00,10:00-15:00,10:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Range of Services,Library in same building as other services,https://www.suffolklibraries.co.uk/libraries/kessingland-library/,
Suffolk,Lakenheath,65 High Street,Lakenheath,Suffolk,IP27 9DS,,Yes,CL,,,00:00-00:00,14:00-19:00,14:00-17:00,10:00-17:00,14:00-19:00,10:00-13:00,10:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.suffolklibraries.co.uk/libraries/lakenheath-library/,
Suffolk,Lavenham,"Lavenham Village Hall, Church Street",Lavenham,Suffolk,CO10 9QT,,Yes,CL,,,10:00-13:00,10:00-17:00,00:00-00:00,10:00-17:00,10:00-17:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Community Centre,Library within larger community centre,https://www.suffolklibraries.co.uk/libraries/lavenham-library/,
Suffolk,Leiston,"Old Post Office Square, Main Street",Leiston,Suffolk,IP16 4ER,,Yes,CL,,,00:00-00:00,09:30-19:30,00:00-00:00,09:30-17:30,09:30-17:00,09:30-17:00,10:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.suffolklibraries.co.uk/libraries/leiston-library/,
Suffolk,Long Melford,"United Reform Church Room, Hall Street",Long Melford,Suffolk,CO10 9JT,,Yes,CL,,,00:00-00:00,10:00-17:00,10:00-17:00,00:00-00:00,10:00-17:00,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Church Hall,Library adjoins to church hall,https://www.suffolklibraries.co.uk/libraries/long-melford-library/,
Suffolk,Lowestoft,Clapham Road South,Lowestoft,Suffolk,NR32 1DR,10091042699,Yes,CL,,,09:00-18:00,09:00-19:00,09:00-18:00,09:00-19:00,09:00-18:00,09:00-17:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.suffolklibraries.co.uk/libraries/lowestoft-library/,
Suffolk,Mildenhall,Chestnut Close,Mildenhall,Suffolk,IP28 7NL,,Yes,CL,,,00:00-00:00,10:00-19:00,10:00-17:15,10:00-17:15,10:00-17:15,10:00-16:45,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.suffolklibraries.co.uk/libraries/mildenhall-library/,
Suffolk,Needham Market,School Street,Needham Market,Suffolk,IP6 8BB,,Yes,CL,,,00:00-00:00,10:00-17:00,14:00-19:00,10:00-17:00,14:00-17:00,10:00-17:00,11:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.suffolklibraries.co.uk/libraries/needham-market-library/,
Suffolk,Newmarket,1a the Guineas,Newmarket,Suffolk,CB8 8EQ,,Yes,CL,,,00:00-00:00,08:30-18:00,09:00-17:00,08:30-17:00,08:30-18:30,09:00-17:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.suffolklibraries.co.uk/libraries/newmarket-library/,
Suffolk,Oulton Broad,92 Bridge Road,Oulton Broad,Suffolk,NR32 3LR,,Yes,CL,,,10:00-12:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-18:00,10:00-17:00,11:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.suffolklibraries.co.uk/libraries/oulton-broad-library/,
