Library name,Address 1,Postcode,URL
Duntocher Library,Glenhead CE Centre,G81 6HF,http://www.west-dunbarton.gov.uk/libraries/library-branches/duntocher-library/
Dyce Library,Riverview Drive,AB21 7NF,http://www.aberdeencity.gov.uk/Library_Service/Libraries_Menu.asp
Eaglesham Library,Montgomerie Hall,G76 0LH,http://www.ercultureandleisure.org/eagleshamlibrary
Earlston Library,Earlston High School,TD4 6JP,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/earlston_library(1).aspx
East Calder Library,Main Street,EH53 0EJ,https://www.westlothian.gov.uk/article/2238/East-Calder-Library
East Kilbride Library,The Olympia Shopping Centre,G74 1PG,http://www.slleisureandculture.co.uk/info/82/east_kilbride_library
East Linton Library,60A High Street,EH40 3BX,http://www.eastlothian.gov.uk/info/200259/your_local_library/486/local_libraries_in_east_lothian/5
Eastriggs Library,Eastriggs Community School ,DG12 6PZ,http://www.dumgal.gov.uk/article/15399/DG-Customer-Services---Eastriggs
Edinburgh Central Library,George IV Bridge ,EH1 1EG,https://www.edinburgh.gov.uk/directory_record/5079/central_library
Elder Park Library,228a Langlands Road,G51 3TZ,http://www.glasgowlife.org.uk/libraries/your-local-library/elder-park-library/Pages/home.aspx
Elgin Library,Cooper Park,IV30 1HS,http://www.moray.gov.uk/moray_standard/page_1435.html
Elie Library,Siward Lane,KY9 1AZ,http://onfife.com/venues/elie-library
Ellon Library,Station Road,AB41 9AE,https://www.aberdeenshire.gov.uk/libraries/
Erskine Library,Bridgewater Place,PA8 7AA,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19
Ewart Library & Customer Service Centre,Catherine Street,DG1 1JB,http://www.dumgal.gov.uk/article/15398/DG-Customer-Services---Ewart-Library-Dumfries
Eyemouth Library,Manse Road,TD14 5JE,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/eyemouth_library(1).aspx
Faifley Library,Edinbarnet Campus,G81 5BS,http://www.west-dunbarton.gov.uk/libraries/library-branches/faifley-library/
Fairhill Library,South Lanarkshire Lifestyles Fairhill,ML3 8HJ,http://www.slleisureandculture.co.uk/info/83/fairhill_library
Fairlie Library,Main Road ,KA29 0AD,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000083
Falkirk Library,Hope Street,FK1 5AU,http://www.falkirkcommunitytrust.org/venues/falkirk-library/
Fallin Library,Stirling Road,FK7 7JE,http://my.stirling.gov.uk/facilities/view/74
Fauldhouse Library,Fauldhouse Partnership Centre ,EH47 9JD,https://www.westlothian.gov.uk/article/2240/Fauldhouse-Library
Ferguslie Library,Tannahill Centre,PA3 1NT,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19
Ferryhill Library,Fonthill Road,AB11 6UP,http://www.aberdeencity.gov.uk/Library_Service/Libraries_Menu.asp
Fettercairn Library,Fettercairn School,AB30 1TH,https://www.aberdeenshire.gov.uk/libraries/
Fintry Community Library,1 Findcastle Street ,DD4 9EW,http://www.leisureandculturedundee.com/fintry-community-library
Fochabers Library,Milne's Learning Centre ,IV32 7DJ,http://www.moray.gov.uk/moray_standard/page_39965.html
Forehill Library,31 Mount Oliphant Crescent,KA7 3EN,https://www.south-ayrshire.gov.uk/libraries/branches/forehill-library.aspx
Forres Library,Forres House High Street,IV36 1BU,http://www.moray.gov.uk/moray_standard/page_39966.html
Fort William Library,Airds Crossing,PH33 6EU,https://www.highlifehighland.com/libraries/fort-william-library/
Forth Library,Forth Primary School ,ML11 8AE,http://www.slleisureandculture.co.uk/info/84/forth_library
Fortrose Community Centre,Academy Street,IV10 8TW,https://www.highlifehighland.com/libraries/fortrose-community-library/
Fountainbridge Library,137 Dundee Street,EH11 1BG,https://www.edinburgh.gov.uk/directory_record/5061/fountainbridge_library
Foxbar Library and Toy Library,Ivanhoe Road,PA2 0JZ,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19
Fraserburgh Library,King Edward Street,AB43 9PN,https://www.aberdeenshire.gov.uk/libraries/
Gairloch Community Library,Gairloch,IV21 2BP,https://www.highlifehighland.com/libraries/gairloch-community-library/
Galashiels Library,Lawyers Brae,TD1 3JQ,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/galashiels_library(1).aspx
Galston Library,24 Henrietta Street,KA4 8HQ,http://eastayrshireleisure.com/index.php?a=venuedetail&id=6&venueid=48
Gatehouse Library,63 High Street,DG7 2HS,http://www.dumgal.gov.uk/article/15400/DG-Customer-Services---Gatehouse-Library
Georgetown Library,Gillbrae Road ,DG1 4EJ,http://www.dumgal.gov.uk/article/15401/DG-Customer-Services---Georgetown-Dumfries
Giffnock Library,Station Road,G46 6JF,http://www.ercultureandleisure.org/giffnocklibrary
Gilmerton Library,13 Newtoft Street ,EH17 8RG,https://www.edinburgh.gov.uk/directory_record/5062/gilmerton_library
Girvan Library,Montgomerie Street,KA26 9HE,https://www.south-ayrshire.gov.uk/libraries/branches/girvan-library.aspx
Glenburn Library,Fairway Avenue,PA2 8DX,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19
Glenurquhart Library and Learning Centre,Glenurquhart High School,IV63 6XA,https://www.highlifehighland.com/libraries/glenurquhart-library-and-learning-centre/
Golspie Library,Back Road,KW10 6RF,https://www.highlifehighland.com/libraries/golspie-library/
Gorbals Library,180 Crown Street,G5 9XD,http://www.glasgowlife.org.uk/libraries/your-local-library/gorbals-library/Pages/home.aspx
Gorebridge Library,98 Hunterfield Road,EH23 4TT,https://www.midlothian.gov.uk/directory_record/60/gorebridge_library
Gourock Library,Kempock Place,PA19 1QU,https://www.inverclyde.gov.uk/community-life-and-leisure/libraries/about-our-libraries/library-locations
Govanhill library,170 Langside Road,G42 7JU,http://www.glasgowlife.org.uk/libraries/your-local-library/govanhill-library/Pages/home.aspx
Grangemouth Library,Bo'ness Road,FK3 8AG,http://www.falkirkcommunitytrust.org/venues/grangemouth-library/
Granton Library,29 Wardieburn Terrace ,EH5 1DD,https://www.edinburgh.gov.uk/directory_record/5063/granton_library
Grantown on Spey Library,The Court House,PH26 3EL,https://www.highlifehighland.com/libraries/grantown-on-spey-library/
Greenhills Library,Greenhills Square ,G75 8TT,http://www.slleisureandculture.co.uk/info/85/greenhills_library
