WKT,fid,id,building_theme,classification,distinctive_name,feature_code
"POLYGON ((78100.46 849914.73,78058.28 849931.16,78053.5 849918.27,78094.43 849902.86,78106.64 849906.44,78115.67 849878.09,78093.11 849870.9,78100.63 849845.9,78112.33 849849.59,78116.3 849837.08,78162.21 849851.9,78168.74 849853.0,78196.11 849842.8,78204.48 849863.01,78184.2 849870.81,78190.37 849886.67,78206.44 849880.58,78214.43 849901.07,78168.24 849918.66,78163.07 849917.07,78160.2 849924.83,78140.76 849918.77,78143.13 849910.21,78133.07 849907.11,78130.35 849915.34,78116.88 849920.34,78100.46 849914.73),(78168.27 849894.68,78179.92 849890.29,78173.89 849875.32,78167.51 849877.89,78163.04 849892.69,78168.27 849894.68),(78121.98 849904.3,78114.13 849901.94,78111.96 849909.15,78119.82 849911.51,78121.98 849904.3))","1910",AA62E8AA-5D27-4440-9E01-51B1914BF900,Cultural Facility,Library,Lionacleit Community Library,"15024"
"POLYGON ((363064.74 827948.43,363065.13 827933.9,363084.89 827934.67,363084.53 827948.85,363064.74 827948.43))","1929",47CA95F7-284A-4C3C-85E5-6F1197DAED33,Cultural Facility,Library,,"15024"
"POLYGON ((394450.62 855355.87,394444.36 855369.8,394437.4 855366.68,394443.67 855352.75,394450.62 855355.87))","1951",B110013F-4D06-4867-8042-4D6D75773AE8,Cultural Facility,Library,Strichen Library,"15024"
"POLYGON ((128441.99 724092.34,128432.37 724097.65,128429.41 724092.28,128439.03 724086.97,128441.99 724092.34))","1964",1904A3F8-A1CE-4B4E-BCFE-0F8950890782,Cultural Facility,Library,,"15024"
"POLYGON ((356488.14 734586.64,356492.47 734563.19,356513.91 734567.15,356509.57 734590.61,356488.14 734586.64))","2051",5DDEFA06-51DF-4A45-86C5-EBC9BA4325EC,Cultural Facility,Library,,"15024"
"POLYGON ((326480.42 693379.09,326478.5 693359.35,326489.15 693358.3,326489.83 693365.37,326503.01 693363.97,326504.07 693376.69,326480.42 693379.09))","2124",0067E7F5-FFD0-480D-8929-6B70C48FDBEC,Cultural Facility,Library,Templehall Library,"15024"
"POLYGON ((344352.3 732296.95,344352.5 732312.05,344332.35 732312.3,344331.95 732277.5,344368.03 732277.05,344368.35 732296.9,344352.3 732296.95))","2186",09C280A9-B92F-4D82-AD6F-8BAE6100362E,Cultural Facility,Library,,"15024"
"POLYGON ((316463.12 692057.26,316482.37 692062.33,316478.05 692078.65,316458.74 692073.47,316463.12 692057.26))","2209",5A81D4AD-15E2-467E-8B13-9346C3B736F8,Cultural Facility,Library,,"15024"
"POLYGON ((352656.8 701815.67,352697.36 701838.78,352687.85 701854.76,352647.81 701830.57,352656.8 701815.67))","2246",8A7EED1A-E0E5-4FA2-AFFC-0C37AB25A77F,Cultural Facility,Library,,"15024"
"POLYGON ((290180.67 718351.99,290179.07 718340.09,290189.51 718338.69,290191.11 718350.59,290180.67 718351.99))","2250",8F90374E-3576-4951-B468-2187F04077A5,Cultural Facility,Library,Innerpeffray Free Library,"15024"
