Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Durham County Council,Sacriston Library,Plawsworth Road,Sacriston,County Durham,DH7 6HU,,Yes,LAL,,,09:30-19:00,00:00-00:00,00:00-00:00,09:30-17:00,00:00-00:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
Durham County Council,Seaham Library,"Seaham Contact Centre, St. John's Square",Seaham,County Durham,SR7 7JE,,Yes,LAL,,,09:30-19:00,13:30-17:00,09:30-12:30,09:30-19:00,09:30-17:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
Durham County Council,Sedgefield Library,Front Street,Cleveland,County Durham,TS21 3AT,,Yes,LAL,,,00:00-00:00,00:00-00:00,09:30-12:30,10:00-18:00,13:00-19:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
Durham County Council,Shildon Library,Church Street,Shildon,County Durham,DL4 1DU,,Yes,LAL,,,10:00-18:00,10:00-19:00,00:00-00:00,10:00-19:00,10:00-17:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
Durham County Council,Shotton Library,Co-operative Terrace,Shotton Colliery,County Durham,DL6 2LW,,Yes,LAL,,,00:00-00:00,09:30-17:00,00:00-00:00,00:00-00:00,09:30-19:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
Durham County Council,South Moor Library,Severn Crescent,Stanley,County Durham,DH9 7PX,,Yes,LAL,,,00:00-00:00,13:00-17:00,00:00-00:00,09:30-19:00,09:30-13:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
Durham County Council,Spennymoor Library,24 Cheapside,Spennymoor,County Durham,DL16 6DJ,,Yes,LAL,,,09:30-19:00,09:30-17:00,09:30-12:30,09:30-19:00,13:30-17:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
Durham County Council,Stanley Library,"Stanley Louisa Centre, Front Street",Stanley,County Durham,DH9 0TE,10093431331,Yes,LAL,,,10:00-19:00,10:00-19:00,00:00-00:00,10:00-17:00,10:00-18:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
Durham County Council,Thornley Library,High Street,Thornley,County Durham,DH6 3EL,,Yes,LAL,,,09:30-17:00,00:00-00:00,00:00-00:00,09:30-19:00,00:00-00:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
Durham County Council,Trimdon Library,Church Road,Trimdon,County Durham,TS29 6PY,,Yes,LAL,,,00:00-00:00,09:30-17:00,00:00-00:00,09:30-19:00,00:00-00:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
Durham County Council,Willington Library,46a High Street,Crook,County Durham,DL15 0PG,,Yes,LAL,,,13:00-17:00,00:00-00:00,00:00-00:00,09:30-19:00,09:30-13:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
Durham County Council,Wingate Library,Front Street,Wingate,County Durham,TS28 5AA,,Yes,LAL,,,14:00-17:30,09:00-12:30,00:00-00:00,09:00-19:00,00:00-00:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
Durham County Council,Wolsingham Library,Town Hall,Bishop Auckland,County Durham,DL13 3AB,,Yes,LAL,,,09:30-19:00,00:00-00:00,00:00-00:00,00:00-00:00,09:30-17:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
Durham County Council,Woodhouse Close Library,Woodhouse Lane,Bishop Auckland,County Durham,DL14 6JX,,Yes,LAL,,,09:30-19:00,00:00-00:00,00:00-00:00,09:30-17:00,00:00-00:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
