Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Norfolk County Council,Norfolk & Norwich Millennium Library,"The Forum, Millennium Plain",Norwich,Norfolk,NR2 1AW,10090188756,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,09:00-17:00,10:30-16:30,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,North Walsham Library,New Road,North Walsham,Norfolk,NR28 9DE,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Plumstead Road Library,Plumstead Road,Norwich,Norfolk,NR1 4JS,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Poringland Library,Overtons Way,Poringland,Norfolk,NR14 7WB,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Reepham Library,"Bircham Institute, Market Place",Reepham,Norfolk,NR10 4JJ,,Yes,LAL,,,14:00-19:00,,09:30-17:00,,10:00-17:00,09:30-12:30,,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Sheringham Library,New Road,Sheringham,Norfolk,NR26 8EB,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Sprowston Library,Recreation Ground Road,Sprowston,Norfolk,NR7 8EW,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Stalham Library,High Street,Stalham,Norfolk,NR12 9AN,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,St Williams Way Library,"St William's Way, 11 Williams Loke",Norwich,Norfolk,NR7 0AJ,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Swaffham Library,The Pightle,Swaffham,Norfolk,PE37 7DF,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Taverham Library,Sandy Lane,Norwich,Norfolk,NR8 6JR,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Thetford Library,2 Raymond Street,Thetford,Norfolk,IP24 2EA,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Tuckswood Library,Robin Hood Road,Norwich,Norfolk,NR4 6BX,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Watton Library,George Trollope Road,Watton,Norfolk,IP25 6AS,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Wells Library,35 Station Road,Wells-next-the-Sea,Norfolk,NR23 1EA,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,West Earlham Library,17-18 Earlham West Centre,Norwich,Norfolk,NR5 8AD,,Yes,LAL,,,,09:00-18:00,,09:00-18:00,,09:00-13:00,,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Wroxham Library,Norwich Road,Wroxham,Norfolk,NR12 8RX,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Wymondham Library,Back Lane,Wymondham,Norfolk,NR18 0QB,,Yes,LAL,,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-19:00,08:00-17:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
